,Winner,Loser,Winner_Str,Loser_Str,Winner_Td,Loser_Td,Winner_Sub_Attempt,Loser_Sub_Attempt,Weight_class,Method,METHOD,Time,Round
3,Irene Aldana,Vanessa Melo,125,68,0,0,0,0,Women's Bantamweight,U-DEC,1,5:00,3
4,Steven Peterson,Martin Bravo,49,86,0,2,0,0,Featherweight,KO/TKO  Spinning Back Fist,2,1:31,2
5,Jose Quinonez,Carlos Huachin,60,32,2,0,0,0,Bantamweight,U-DEC,1,5:00,3
6,Kyle Nelson,Polo Reyes,12,6,0,0,0,0,Featherweight,KO/TKO  Punch,2,1:36,1
7,Angela Hill,Ariane Carnelossi,92,72,0,0,0,0,Women's Strawweight,KO/TKO  Elbow,2,1:56,3
8,Sergio Pettis,Tyson Nam,96,40,0,0,0,0,Flyweight,U-DEC,1,5:00,3
9,Paul Craig,Vinicius Moreira,18,1,1,0,1,0,Light Heavyweight,SUB  Rear Naked Choke,3,3:19,1
10,Bethe Correia,Sijara Eubanks,59,77,0,1,0,0,Women's Bantamweight,U-DEC,1,5:00,3
11,Claudio Puelles,Marcos Mariano,22,2,4,0,2,0,Lightweight,U-DEC,1,5:00,3
0,Justin Gaethje,Donald Cerrone,40,17,0,0,0,0,Lightweight,KO/TKO  Punch,2,4:18,1
1,Glover Teixeira,Nikita Krylov,43,47,1,2,2,1,Light Heavyweight,S-DEC,1,5:00,3
2,Todd Duffee,Jeff Hughes,30,16,1,0,0,0,Heavyweight,CNC,4,4:03,1
3,Tristan Connelly,Michel Pereira,64,32,0,2,1,0,Welterweight,U-DEC,1,5:00,3
4,Uriah Hall,Antonio Carlos Junior,34,22,0,3,0,0,Middleweight,S-DEC,1,5:00,3
5,Misha Cirkunov,Jimmy Crute,6,21,1,0,1,0,Light Heavyweight,SUB  Peruvian Necktie,3,3:38,1
6,Augusto Sakai,Marcin Tybura,15,6,0,0,0,0,Heavyweight,KO/TKO  Punches,2,0:59,1
7,Miles Johns,Cole Smith,31,11,1,1,0,0,Bantamweight,S-DEC,1,5:00,3
8,Hunter Azure,Brad Katona,41,21,0,3,0,0,Bantamweight,U-DEC,1,5:00,3
9,Chas Skelly,Jordan Griffin,21,37,1,1,3,2,Featherweight,U-DEC,1,5:00,3
10,Louis Smolka,Ryan MacDonald,59,30,0,0,0,0,Bantamweight,KO/TKO  Punch,2,4:43,1
11,Austin Hubbard,Kyle Prepolec,51,44,3,0,0,0,Lightweight,U-DEC,1,5:00,3
0,Khabib Nurmagomedov,Dustin Poirier,22,12,7,0,2,1,Lightweight,SUB  Rear Naked Choke,3,2:06,3
1,Paul Felder,Edson Barboza,56,60,0,1,0,0,Lightweight,S-DEC,1,5:00,3
2,Islam Makhachev,Davi Ramos,43,7,0,0,0,0,Lightweight,U-DEC,1,5:00,3
3,Curtis Blaydes,Shamil Abdurakhimov,25,3,5,0,0,0,Heavyweight,KO/TKO  Elbow,2,2:22,2
4,Diego Ferreira,Mairbek Taisumov,109,51,0,0,0,0,Lightweight,U-DEC,1,5:00,3
5,Joanne Calderwood,Andrea Lee,101,61,2,3,0,0,Women's Flyweight,S-DEC,1,5:00,3
6,Zubaira Tukhugov,Lerone Murphy,22,28,6,0,0,2,Featherweight,S-DEC,1,5:00,3
7,Sarah Moras,Liana Jojua,44,19,0,2,1,0,Women's Bantamweight,KO/TKO  Elbows,2,2:26,3
8,Ottman Azaitar,Teemu Packalen,27,8,0,0,0,0,Lightweight,KO/TKO  Punch,2,3:33,1
9,Belal Muhammad,Takashi Sato,49,29,2,1,1,0,Welterweight,SUB  Rear Naked Choke,3,1:55,3
10,Muslim Salikhov,Nordine Taleb,10,6,0,0,0,0,Welterweight,KO/TKO  Punch,2,4:26,1
11,Omari Akhmedov,Zak Cummings,26,17,2,0,0,0,Middleweight,U-DEC,1,5:00,3
12,Don Madge,Fares Ziam,21,10,3,0,0,0,Lightweight,U-DEC,1,5:00,3
0,Weili Zhang,Jessica Andrade,29,4,0,0,0,0,Women's Strawweight,KO/TKO  Punch,2,0:42,1
1,Jingliang Li,Elizeu Zaleski dos Santos,59,54,2,0,0,0,Welterweight,KO/TKO  Punches,2,4:51,3
2,Kai Kara-France,Mark De La Rosa,91,60,1,1,0,0,Flyweight,U-DEC,1,5:00,3
3,Kenan Song,Derrick Krantz,58,33,0,3,0,1,Welterweight,U-DEC,1,5:00,3
4,Mizuki Inoue,Yanan Wu,93,123,0,0,0,0,Women's Flyweight,S-DEC,1,5:00,3
5,Anthony Hernandez,Junyong Park,59,81,6,0,1,0,Middleweight,SUB  Anaconda Choke,3,4:39,2
6,Su Mudaerji,Andre Soukhamthath,93,23,1,0,0,0,Bantamweight,U-DEC,1,5:00,3
7,Da-Un Jung,Khadis Ibragimov,81,88,0,1,1,0,Light Heavyweight,SUB  Guillotine Choke,3,1:59,3
8,Damir Ismagulov,Thiago Moises,71,36,0,0,0,0,Lightweight,U-DEC,1,5:00,3
9,Heili Alateng,Danaa Batgerel,36,85,3,0,0,0,Bantamweight,U-DEC,1,5:00,3
10,Karol Rosa,Lara Procopio,171,165,0,0,0,0,Women's Bantamweight,S-DEC,1,5:00,3
0,Stipe Miocic,Daniel Cormier,123,181,1,1,0,0,Heavyweight,KO/TKO  Punches,2,4:09,4
1,Nate Diaz,Anthony Pettis,114,69,1,0,0,1,Welterweight,U-DEC,1,5:00,3
2,Paulo Costa,Yoel Romero,118,125,0,1,0,0,Middleweight,U-DEC,1,5:00,3
3,Sodiq Yusuff,Gabriel Benitez,34,24,0,0,0,0,Featherweight,KO/TKO  Punch,2,4:14,1
4,Derek Brunson,Ian Heinisch,81,58,2,0,0,0,Middleweight,U-DEC,1,5:00,3
5,Khama Worthy,Devonte Smith,21,15,0,0,0,0,Lightweight,KO/TKO  Punch,2,4:15,1
6,Cory Sandhagen,Raphael Assuncao,62,45,0,4,0,0,Bantamweight,U-DEC,1,5:00,3
7,Drakkar Klose,Christos Giagos,99,87,2,2,0,1,Lightweight,U-DEC,1,5:00,3
8,Casey Kenney,Manny Bermudez,43,37,2,3,1,0,Catch Weight,U-DEC,1,5:00,3
